combination,trials_ok
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 44/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 47/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 44/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 40/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 43/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 47/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 37/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 47/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 44/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 46/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 46/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 44/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 39/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 10/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 40/50"
"913.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 32/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 45/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 45/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 47/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 44/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 44/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 46/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 42/50"
"910.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 49/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 40/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 48/49"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 41/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 41/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 43/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 50/50"
