combination,trials_ok
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 58/60"
"909.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 46/60"
"916.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 45/60"
"916.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 6/60"
"916.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 55/60"
"916.550 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 42/60"
"916.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"916.600 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 13/60"
"916.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 56/60"
"916.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 51/60"
"916.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"916.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 39/60"
"916.850 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"916.850 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 4/60"
"916.900 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 50/60"
"916.900 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 56/59"
"926.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 54/60"
"926.050 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 59/60"
"926.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 48/60"
"926.350 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 56/59"
