combination,trials_ok
"909.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 58/60"
"909.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 0/60"
"909.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 57/60"
"909.750 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 58/60"
"909.700 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 54/60"
"909.700 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 48/60"
"909.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 53/60"
"909.650 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 15/60"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 54/60"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 8/60"
"909.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 57/60"
"909.450 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 59/60"
"909.200 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 55/60"
"909.200 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 59/60"
"909.150 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 57/60"
"909.150 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 15/60"
