combination,trials_ok
"905.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 1/20"
"905.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"905.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 14/20"
"905.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"905.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"905.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 12/20"
"905.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 20/20"
"905.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"905.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 19/20"
"905.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"905.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 20/20"
"905.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 15/19"
"905.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"905.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/19"
"905.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"905.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"905.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 12/20"
"905.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 3/20"
"905.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"905.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 19/20"
"905.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"905.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 18/20"
"905.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 18/19"
"905.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 18/18"
"906.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"906.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"906.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 2/20"
"906.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"906.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 7/20"
"906.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/18"
"906.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"906.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"906.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 18/20"
"906.000 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"906.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"906.000 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 16/18"
"906.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"906.500 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"906.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 12/20"
"906.500 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 1/20"
"906.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"906.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"906.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"906.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 20/20"
"906.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [a2b]: 16/20"
"906.500 MHz, BW 500 kHz, SF11, CR4/5, 22 dBm, preamble 32 [b2a]: 18/19"
"906.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [a2b]: 15/20"
"906.500 MHz, BW 500 kHz, SF12, CR4/5, 22 dBm, preamble 32 [b2a]: 5/16"
"907.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"907.000 MHz, BW 500 kHz, SF7, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"907.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [a2b]: 0/20"
"907.000 MHz, BW 500 kHz, SF8, CR4/5, 22 dBm, preamble 32 [b2a]: 0/20"
"907.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
"907.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 1/20"
"907.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 17/20"
