combination,trials_ok
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 46/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 40/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 42/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 47/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 48/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 22/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 44/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 47/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 42/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 40/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 46/49"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 43/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 42/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 50/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 48/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 41/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 44/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 26/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 44/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 45/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 42/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 10/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 22/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 48/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 36/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 44/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 47/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 32/50"
