combination,trials_ok
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 47/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 41/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 45/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 42/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 47/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 42/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"909.500 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 24/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 42/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 48/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 40/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 18/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 43/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 2/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 46/50"
"910.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 49/49"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 45/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 43/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 39/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 10/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 45/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 8/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 48/50"
"910.100 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 18/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 42/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [a2b]: 37/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/6, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [a2b]: 42/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/7, 22 dBm, preamble 32 [b2a]: 50/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [a2b]: 40/50"
"926.000 MHz, BW 500 kHz, SF10, CR4/8, 22 dBm, preamble 32 [b2a]: 48/50"
