combination,trials_ok
"906.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"906.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 1/40"
"906.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"906.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"906.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"906.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 5/40"
"906.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"906.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 5/40"
"906.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 33/40"
"906.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 2/39"
"906.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 34/40"
"906.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 12/40"
"909.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"909.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 34/40"
"909.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"909.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 37/40"
"909.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"909.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 17/40"
"909.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"909.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 38/40"
"909.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"909.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 32/40"
"909.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 39/40"
"909.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 39/40"
"909.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"909.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 34/40"
"909.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"909.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 6/40"
"909.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"909.500 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 35/40"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"909.500 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"909.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 37/40"
"909.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 36/40"
"909.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 38/40"
"909.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 37/40"
"909.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 28/40"
"909.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 28/40"
"909.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"909.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 17/40"
"909.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 32/40"
"909.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 34/40"
"909.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 33/40"
"909.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 28/40"
"909.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"909.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 33/40"
"909.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 36/40"
"909.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 35/40"
"916.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"916.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 34/40"
"916.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 33/40"
"916.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 34/40"
"916.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 24/40"
"916.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 25/39"
"916.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 35/40"
"916.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 26/40"
"916.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 33/40"
"916.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 7/40"
"916.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 34/40"
"916.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 36/40"
"916.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 23/40"
"916.900 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"916.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"916.900 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 14/40"
"917.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"917.000 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"917.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 32/40"
"917.000 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 37/40"
"917.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 21/40"
"917.100 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 21/40"
"917.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 32/40"
"917.100 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 36/40"
"917.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 25/40"
"917.200 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 18/40"
"917.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"917.200 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 28/40"
"917.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 2/40"
"917.300 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 2/39"
"917.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"917.300 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 33/40"
"917.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 30/40"
"917.400 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 16/40"
"917.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"917.400 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 27/40"
"922.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 8/40"
"922.600 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 4/40"
"922.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 27/40"
"922.600 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 23/40"
"922.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 8/40"
"922.700 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 14/40"
"922.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 31/40"
"922.700 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [b2a]: 31/40"
"922.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [a2b]: 0/40"
"922.800 MHz, BW 500 kHz, SF9, CR4/5, 22 dBm, preamble 32 [b2a]: 0/40"
"922.800 MHz, BW 500 kHz, SF10, CR4/5, 22 dBm, preamble 32 [a2b]: 10/40"
